episode, reward, success, duration, n_steps, epsilon, success_count, memory length, avg_critic_loss, avg_actor_loss
142, -11490.328205512837, False, 16.986803770065308, 700, 0.8684280445126921, 0, 72327, 26.22270965576172, 14062.2509765625
143, -10440.633320297056, False, 4.9435715675354, 200, 0.8675596164681794, 0, 72526, 26.816089630126953, 13922.5927734375
144, -10849.883345633745, False, 6.855911731719971, 279, 0.8666920568517111, 0, 72804, 24.086284637451172, 14323.923828125
145, 12596.780822135508, True, 9.085201501846313, 373, 0.8658253647948594, 0, 73176, 25.617918014526367, 14127.6787109375
146, -14553.28859309107, False, 7.444072008132935, 302, 0.8649595394300645, 0, 73477, 24.94704246520996, 14309.736328125
147, -10526.248088756343, False, 5.374841213226318, 217, 0.8640945798906344, 0, 73693, 25.30196189880371, 14358.4462890625
148, -11585.990594506264, False, 6.511621475219727, 266, 0.8632304853107438, 0, 73958, 26.187971115112305, 14426.025390625
149, -11517.182890695054, False, 6.857461214065552, 281, 0.862367254825433, 0, 74238, 25.999135971069336, 14604.8388671875
150, -10783.305467880215, False, 5.6450841426849365, 230, 0.8615048875706075, 0, 74467, 19.8536434173584, 15137.3779296875
151, -10956.423044112511, False, 12.952750205993652, 533, 0.8606433826830369, 0, 74999, 24.262632369995117, 14440.388671875
152, -13723.507719855581, False, 19.346962213516235, 799, 0.8597827393003539, 0, 75797, 25.692203521728516, 14980.64453125
153, 12257.330341398716, True, 4.204178094863892, 163, 0.8589229565610536, 0, 75959, 23.902515411376953, 14221.9521484375
154, -14868.439893335104, False, 7.649991273880005, 306, 0.8580640336044925, 0, 76264, 23.722482681274414, 15079.9169921875
155, -11262.614482358098, False, 4.088321685791016, 166, 0.857205969570888, 0, 76429, 25.052934646606445, 15478.8701171875
156, 12263.365407139063, True, 4.030031442642212, 164, 0.8563487636013172, 0, 76592, 26.3291072845459, 15198.2392578125
157, -13021.635103382403, False, 8.243849039077759, 334, 0.8554924148377159, 0, 76925, 23.589771270751953, 15203.3291015625
158, -10848.276835651603, False, 6.605440139770508, 268, 0.8546369224228781, 0, 77192, 24.111948013305664, 14970.74609375
159, -10278.84772138088, False, 5.260541200637817, 209, 0.8537822855004553, 0, 77400, 24.744203567504883, 15128.3408203125
160, -10334.221404283307, False, 4.965967178344727, 196, 0.8529285032149548, 0, 77595, 27.417478561401367, 15856.7880859375
161, -12321.083067546948, False, 14.89295244216919, 603, 0.8520755747117399, 0, 78197, 22.849254608154297, 15851.3486328125
