episode, reward, success, duration, n_steps, success_count, memory length, avg_critic_loss, avg_actor_loss
205, -1256.162076473236, False, 16.690953969955444, 696, 0, 93932, 0.3911363482475281, 1861.6588134765625
206, -845.2367088198662, False, 16.742003440856934, 697, 0, 94628, 0.42509278655052185, 1866.0252685546875
207, -1028.1629505753517, False, 14.149532794952393, 601, 0, 95228, 0.4304751753807068, 1860.469482421875
208, -991.0702191591263, False, 14.597475290298462, 622, 0, 95849, 0.4653894305229187, 1860.8681640625
209, -1214.6439034938812, False, 10.19175934791565, 434, 0, 96282, 0.3910050392150879, 1852.9664306640625
210, -638.3884080052376, False, 16.587827444076538, 697, 0, 96978, 0.3953152894973755, 1852.368408203125
211, -1149.9954917430878, False, 16.19859552383423, 681, 0, 97658, 0.38605067133903503, 1853.34228515625
212, -696.0242244005203, False, 8.505614042282104, 359, 0, 98016, 0.3822809159755707, 1842.793212890625
213, -676.8447940945625, False, 16.752179384231567, 697, 0, 98712, 0.4112210273742676, 1841.4383544921875
214, -1118.0663629174232, False, 15.798383712768555, 674, 0, 99385, 0.385244220495224, 1841.2891845703125
215, -1161.7471724748611, False, 16.631538152694702, 695, 0, 100000, 0.5019912123680115, 1833.8800048828125
216, 303.22303330898285, True, 7.9187846183776855, 341, 0, 100000, 0.3238922655582428, 1828.928466796875
217, -971.8552298545837, False, 7.963025093078613, 348, 0, 100000, 0.2839036285877228, 1813.87548828125
218, -109.95536959171295, True, 15.438241958618164, 664, 0, 100000, 0.40562424063682556, 1817.5628662109375
219, -735.4773446321487, False, 2.9260711669921875, 126, 0, 100000, 0.4267972409725189, 1801.6160888671875
220, -548.6047627329826, False, 16.119210481643677, 697, 0, 100000, 0.4012065529823303, 1812.826904296875
221, -879.469091117382, False, 16.585960149765015, 697, 0, 100000, 0.4220271110534668, 1808.05126953125
222, -1070.701468348503, False, 15.51909852027893, 638, 0, 100000, 0.44208166003227234, 1808.7781982421875
223, -837.7996371984482, False, 9.174228191375732, 377, 0, 100000, 0.4733225405216217, 1798.110107421875
224, -986.1963340342045, False, 15.771233797073364, 513, 0, 100000, 0.39624378085136414, 1799.7125244140625
225, -916.1207699179649, False, 14.330698728561401, 440, 0, 100000, 0.45522475242614746, 1795.5489501953125
226, -679.1627501696348, False, 12.842038869857788, 404, 0, 100000, 0.49160051345825195, 1782.7518310546875
227, -1089.082765340805, False, 9.711328983306885, 329, 0, 100000, 0.5641549825668335, 1781.6817626953125
228, -970.0779235363007, False, 15.608756303787231, 462, 0, 100000, 0.3163788318634033, 1782.4432373046875
229, -624.8217502981424, False, 9.79367709159851, 295, 0, 100000, 0.4267616271972656, 1778.589599609375
230, -942.418078571558, False, 16.72682285308838, 500, 0, 100000, 0.49398601055145264, 1780.5108642578125
231, -898.2427117675543, False, 17.171700477600098, 500, 0, 100000, 0.45625850558280945, 1773.198486328125
232, -768.2314966022968, False, 15.286218881607056, 459, 0, 100000, 0.43685847520828247, 1768.861572265625
233, 435.8137077689171, True, 7.698638677597046, 227, 0, 100000, 0.4125397205352783, 1763.2696533203125
234, -780.8402197360992, False, 5.243228197097778, 154, 0, 100000, 0.5086750388145447, 1763.76904296875
235, -831.8079867064953, False, 22.925961017608643, 697, 0, 100000, 0.49791502952575684, 1765.398193359375
236, 90.48034782707691, True, 14.664056777954102, 427, 0, 100000, 0.5538104176521301, 1755.1956787109375
237, -635.1199512928724, False, 24.548845291137695, 697, 0, 100000, 0.4449978172779083, 1753.36474609375
238, -830.7876557409763, False, 13.870166063308716, 403, 0, 100000, 0.4547111988067627, 1744.137451171875
239, -902.642839550972, False, 15.031241416931152, 435, 0, 100000, 0.516754150390625, 1741.2113037109375
240, -23.4150413274765, True, 14.4904146194458, 429, 0, 100000, 0.4436768591403961, 1735.338623046875
241, -1019.8883036375046, False, 10.74221134185791, 317, 0, 100000, 0.47503232955932617, 1735.095458984375
242, 456.1970808207989, True, 7.604264497756958, 226, 0, 100000, 0.3713979125022888, 1723.0283203125
243, -685.4527459740639, False, 5.473210573196411, 163, 0, 100000, 0.4252908229827881, 1722.054443359375
244, 48.11680360138416, True, 16.10139274597168, 474, 0, 100000, 0.4700354337692261, 1729.732666015625
245, -632.8673732280731, False, 3.0590767860412598, 94, 0, 100000, 0.636247456073761, 1710.583740234375
246, -808.7737709879875, False, 14.346307039260864, 433, 0, 100000, 0.5215282440185547, 1721.9381103515625
247, -583.5463622063398, False, 8.770963668823242, 261, 0, 100000, 0.49584826827049255, 1722.0859375
248, -989.0098423659801, False, 17.731497049331665, 518, 0, 100000, 0.476482629776001, 1717.8529052734375
