episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
167, -2352.6210803985596, 2, -2, 47, 21033, 46033, 27.695171356201172, 103.15840148925781
168, -3739.8452521562576, 3, -6, 312, 21345, 46345, 29.624996185302734, 96.74641418457031
169, -2313.135379076004, 2, 7, 54, 21399, 46399, 28.78911590576172, 94.60689544677734
170, -2798.4301413297653, 3, -7, 93, 21492, 46492, 31.244491577148438, 96.99657440185547
171, -2373.970780611038, 3, 13, 100, 21592, 46592, 30.604446411132812, 94.5279769897461
172, 1238.0538418293, 1, 37, 397, 21989, 46989, 29.822010040283203, 97.0333480834961
173, -2420.3730548620224, 2, 12, 86, 22075, 47075, 29.85746192932129, 95.32880401611328
174, -2607.299964427948, 3, -62, 119, 22194, 47194, 30.450124740600586, 95.96122741699219
175, -2686.927523255348, 3, 0, 101, 22295, 47295, 29.94129753112793, 99.50227355957031
176, -2383.750801920891, 2, 6, 52, 22347, 47347, 30.178415298461914, 96.15924835205078
177, -4035.037456512451, 2, -6, 363, 22710, 47710, 29.540176391601562, 97.17981719970703
178, -2435.364891409874, 2, 0, 55, 22765, 47765, 28.592802047729492, 96.23405456542969
179, -2640.779841065407, 3, 0, 92, 22857, 47857, 29.947509765625, 99.7436752319336
180, -2966.702694416046, 3, 0, 221, 23078, 48078, 30.03837013244629, 96.68515014648438
181, -2560.500513076782, 2, 0, 50, 23128, 48128, 27.51339340209961, 95.75474548339844
182, -2416.324665427208, 2, 0, 79, 23207, 48207, 30.490262985229492, 98.3929214477539
183, -3282.230516910553, 3, 0, 108, 23315, 48315, 29.998592376708984, 94.8592300415039
184, -2783.5581189990044, 3, 31, 241, 23556, 48556, 29.704526901245117, 97.23406982421875
185, -3073.037311434746, 3, -18, 103, 23659, 48659, 30.713504791259766, 97.0147705078125
186, -3293.0739250183105, 2, 9, 177, 23836, 48836, 30.20686912536621, 96.5433578491211
187, -2639.8014912605286, 2, -22, 53, 23889, 48889, 29.19398307800293, 99.20845031738281
188, -2409.744607925415, 3, 13, 101, 23990, 48990, 30.165191650390625, 99.0580825805664
189, -3390.177157342434, 3, 31, 350, 24340, 49340, 29.90885353088379, 96.71527099609375
190, 2105.430038034916, 1, -22, 174, 24514, 49514, 30.61948013305664, 95.48656463623047
191, -2232.3861734867096, 2, -22, 28, 24542, 49542, 28.047475814819336, 96.81005859375
192, -3489.839342236519, 2, 27, 214, 24756, 49756, 30.090707778930664, 97.066162109375
193, -4067.999767065048, 3, -27, 381, 25137, 50137, 29.394866943359375, 97.3691177368164
194, -2513.8510553836823, 2, 8, 62, 25199, 50199, 30.30695915222168, 97.37590026855469
195, -2294.9729158878326, 2, -8, 45, 25244, 50244, 30.359203338623047, 96.72301483154297
196, -2356.400976538658, 3, 12, 94, 25338, 50338, 30.490089416503906, 96.27740478515625
197, 2437.1052255630493, 1, -8, 35, 25373, 50373, 28.117652893066406, 102.37016296386719
198, -2197.9380336999893, 2, 5, 40, 25413, 50413, 30.480215072631836, 100.80992126464844
199, -3014.2430334091187, 2, -9, 152, 25565, 50565, 29.53718376159668, 97.05987548828125
200, -2880.0959990024567, 3, 38, 294, 25859, 50859, 30.450042724609375, 95.53849029541016
201, -4315.97895860672, 3, 18, 444, 26303, 51303, 30.32659339904785, 96.94552612304688
202, -3540.2385243177414, 2, -56, 237, 26540, 51540, 30.217985153198242, 95.70639038085938
203, -2436.09160387516, 3, 14, 107, 26647, 51647, 29.829896926879883, 95.53609466552734
204, -2305.00924885273, 3, -14, 60, 26707, 51707, 30.346220016479492, 93.6674575805664
205, -2396.638873577118, 2, 0, 51, 26758, 51758, 29.632884979248047, 95.80089569091797
206, -3627.835148334503, 3, 0, 223, 26981, 51981, 29.85847282409668, 96.2884292602539
207, -2746.9418622255325, 3, 0, 107, 27088, 52088, 29.060461044311523, 94.04574584960938
208, 504.88879042863846, 1, 40, 317, 27405, 52405, 30.074182510375977, 96.08380126953125
209, -2347.010932445526, 3, 8, 59, 27464, 52464, 28.677148818969727, 95.87432861328125
210, -2390.8103952407837, 2, -48, 49, 27513, 52513, 28.42880630493164, 98.5375747680664
211, -2352.472531080246, 2, 0, 45, 27558, 52558, 28.921642303466797, 94.0064697265625
212, -2208.984122157097, 2, 0, 52, 27610, 52610, 29.142560958862305, 97.618408203125
213, -3075.032700896263, 3, 0, 164, 27774, 52774, 29.359804153442383, 95.94375610351562
214, -2488.440762758255, 2, 6, 51, 27825, 52825, 29.668472290039062, 94.20953369140625
215, -2341.0589802265167, 3, -6, 98, 27923, 52923, 29.306293487548828, 95.87368774414062
216, -2489.2811653614044, 2, 7, 56, 27979, 52979, 31.37527847290039, 96.949462890625
217, 2181.4618459939957, 1, 12, 150, 28129, 53129, 29.24042320251465, 96.11988067626953
218, -2397.763505458832, 3, 12, 92, 28221, 53221, 29.64373779296875, 96.99248504638672
219, -2432.571875989437, 3, -31, 119, 28340, 53340, 30.08879280090332, 96.60760498046875
220, 2187.760896205902, 1, 8, 61, 28401, 53401, 30.545042037963867, 96.69402313232422
221, 690.0394465327263, 1, 57, 445, 28846, 53846, 29.8669490814209, 97.37945556640625
222, -2750.8650933504105, 3, -65, 160, 29006, 54006, 30.643081665039062, 96.66411590576172
223, -2323.027673959732, 3, 8, 62, 29068, 54068, 30.474319458007812, 97.8632583618164
224, -2436.8247690200806, 3, -8, 70, 29138, 54138, 27.56424903869629, 95.96952819824219
225, -2602.2297389507294, 2, 20, 156, 29294, 54294, 29.842514038085938, 95.53567504882812
226, -3366.853146314621, 2, -20, 161, 29455, 54455, 30.393348693847656, 97.29600524902344
227, -2684.62003326416, 3, 0, 163, 29618, 54618, 29.705713272094727, 95.9280014038086
228, 2354.1832373142242, 1, 12, 94, 29712, 54712, 29.205116271972656, 96.33341979980469
229, -3376.1953740119934, 2, -12, 121, 29833, 54833, 29.882854461669922, 96.57831573486328
230, 1545.9332824647427, 1, 20, 158, 29991, 54991, 29.901371002197266, 96.25880432128906
231, -2342.0068595409393, 3, -20, 72, 30063, 55063, 30.72854232788086, 96.99100494384766
232, 2231.50608086586, 1, 14, 113, 30176, 55176, 31.455894470214844, 96.47586059570312
233, -2511.1191252470016, 2, -14, 92, 30268, 55268, 30.13948631286621, 96.91252136230469
234, -2331.6208670139313, 2, 0, 51, 30319, 55319, 31.88248634338379, 96.46588134765625
235, -2371.380912065506, 2, 10, 83, 30402, 55402, 29.939420700073242, 95.39590454101562
236, -2496.383018732071, 2, -10, 54, 30456, 55456, 29.96201515197754, 98.83935546875
237, -3621.987249016762, 2, 0, 264, 30720, 55720, 30.179588317871094, 97.06722259521484
238, -3023.8753061294556, 3, 0, 157, 30877, 55877, 30.335918426513672, 97.18637084960938
239, -3249.357848227024, 3, 0, 275, 31152, 56152, 30.195205688476562, 98.23241424560547
240, -3139.837648153305, 3, 25, 201, 31353, 56353, 30.47983741760254, 96.43024444580078
241, -2438.1085579395294, 2, -25, 55, 31408, 56408, 30.827739715576172, 96.52253723144531
242, -2418.614869117737, 3, 0, 68, 31476, 56476, 31.54648780822754, 97.38720703125
243, -4318.728788495064, 3, 44, 346, 31822, 56822, 30.822452545166016, 97.61235809326172
244, -3731.1407305002213, 3, -1, 341, 32163, 57163, 31.203248977661133, 97.49714660644531
245, -2249.6172202825546, 2, -43, 48, 32211, 57211, 32.74600601196289, 98.39794921875
246, -2512.452668428421, 3, 0, 92, 32303, 57303, 31.57001304626465, 98.32460021972656
247, 1765.8325568437576, 1, 17, 135, 32438, 57438, 30.35977554321289, 99.81167602539062
248, -2944.989465236664, 3, 15, 115, 32553, 57553, 30.578550338745117, 98.776611328125
249, 2315.763670682907, 1, -22, 80, 32633, 57633, 30.06789207458496, 95.123779296875
250, -2166.868505358696, 3, -10, 37, 32670, 57670, 30.129226684570312, 95.40473937988281
251, -2386.201959490776, 3, 12, 96, 32766, 57766, 30.88006591796875, 96.9256591796875
252, -3111.7468277215958, 3, -12, 269, 33035, 58035, 31.05838394165039, 98.89887237548828
253, 2155.155662417412, 1, 10, 78, 33113, 58113, 31.914331436157227, 98.50639343261719
254, -2685.379314005375, 2, -10, 120, 33233, 58233, 30.65422248840332, 99.49588012695312
255, -3996.376647412777, 3, 0, 447, 33680, 58680, 30.94605255126953, 98.09082794189453
256, -2358.598581314087, 3, 0, 62, 33742, 58742, 33.62974548339844, 95.853515625
257, -2861.8398592472076, 3, 0, 95, 33837, 58837, 30.426557540893555, 100.24046325683594
258, -5688.71878361702, 3, 0, 499, 34336, 59336, 31.086647033691406, 98.78265380859375
259, -2279.4658876657486, 2, 0, 45, 34381, 59381, 32.047019958496094, 98.11620330810547
260, -2522.4601385593414, 3, 11, 88, 34469, 59469, 30.466520309448242, 99.5859603881836
261, -3040.0034893751144, 3, -11, 231, 34700, 59700, 31.290292739868164, 100.00873565673828
262, -3268.3946284651756, 3, 0, 249, 34949, 59949, 31.762916564941406, 100.0333023071289
263, -2376.89249587059, 3, 0, 88, 35037, 60037, 30.764324188232422, 98.76905059814453
264, 2297.4059397876263, 1, 13, 105, 35142, 60142, 30.992910385131836, 96.97138977050781
265, -2834.5779383182526, 3, -13, 120, 35262, 60262, 31.9440975189209, 100.23424530029297
266, -2872.6533830165863, 3, 0, 93, 35355, 60355, 29.8710880279541, 98.1927261352539
267, -2636.3731223344803, 2, 0, 140, 35495, 60495, 30.969186782836914, 97.7810287475586
268, -3939.8129898309708, 3, 42, 325, 35820, 60820, 31.327316284179688, 98.9755859375
269, -3123.941256046295, 3, -42, 197, 36017, 61017, 30.886808395385742, 98.7071304321289
270, -2294.5700385570526, 3, 10, 81, 36098, 61098, 31.25643539428711, 96.31873321533203
271, -3389.133287668228, 3, -10, 228, 36326, 61326, 31.213529586791992, 98.56717681884766
272, 1552.8685120940208, 1, 34, 269, 36595, 61595, 30.952239990234375, 98.72830963134766
273, -2248.7620297670364, 3, -34, 50, 36645, 61645, 30.041391372680664, 97.66249084472656
274, -2740.12555038929, 3, 14, 112, 36757, 61757, 30.710033416748047, 99.61865997314453
275, -2640.8918600678444, 3, -3, 88, 36845, 61845, 30.178373336791992, 99.59069061279297
276, -2437.5193985700607, 3, -11, 88, 36933, 61933, 31.675153732299805, 99.99828338623047
277, -2741.0569533109665, 3, 0, 198, 37131, 62131, 31.254764556884766, 100.0074691772461
278, -2950.396204352379, 3, 0, 78, 37209, 62209, 30.46754264831543, 98.0993423461914
279, -3073.693546652794, 3, 32, 252, 37461, 62461, 30.840234756469727, 99.91095733642578
280, -2797.448326945305, 2, -32, 70, 37531, 62531, 30.7095947265625, 98.9642105102539
281, 1281.1961157917976, 1, 46, 357, 37888, 62888, 31.626859664916992, 99.8780746459961
282, -2679.571408033371, 2, -46, 112, 38000, 63000, 30.19378662109375, 100.10430145263672
283, 2459.1628906726837, 1, 4, 36, 38036, 63036, 31.023319244384766, 99.97909545898438
284, -2778.387328147888, 3, -4, 138, 38174, 63174, 32.0460205078125, 99.48753356933594
285, 775.2872790694237, 1, 49, 380, 38554, 63554, 30.872106552124023, 99.5584716796875
286, -2334.866218328476, 3, 18, 140, 38694, 63694, 32.86140823364258, 100.54911041259766
287, -2770.141963362694, 2, -67, 63, 38757, 63757, 30.694259643554688, 99.87860107421875
288, -2297.6470652222633, 2, 0, 75, 38832, 63832, 31.673547744750977, 98.23357391357422
289, 1913.1159219741821, 1, 16, 126, 38958, 63958, 31.248064041137695, 99.59888458251953
290, -2672.232496857643, 3, -16, 69, 39027, 64027, 33.25556945800781, 100.8460464477539
291, -2546.691235780716, 3, 0, 136, 39163, 64163, 31.615951538085938, 98.62699127197266
292, -2773.7551152706146, 2, 0, 177, 39340, 64340, 32.32242965698242, 99.94251251220703
293, -3687.3390639424324, 3, 0, 253, 39593, 64593, 30.706584930419922, 99.62757873535156
294, -2775.6539599895477, 3, 26, 201, 39794, 64794, 31.507448196411133, 102.2005615234375
295, -3413.9890263080597, 3, -26, 242, 40036, 65036, 31.19120216369629, 100.07230377197266
296, -3270.6989151239395, 3, 0, 236, 40272, 65272, 31.998292922973633, 100.13497161865234
297, 1139.9075664877892, 1, 28, 224, 40496, 65496, 31.008424758911133, 100.18971252441406
298, -3425.156537294388, 3, -28, 167, 40663, 65663, 30.520221710205078, 99.15677642822266
