episode, reward, success, duration, n_steps, memory length, avg_critic_loss, avg_actor_loss
241, -3837.127229452133, 2, 14.1756911277771, 237, 64017, 9.097586631774902, 6588.37353515625
242, 2192.771927654743, 1, 9.45894455909729, 158, 64170, 8.702977180480957, 6481.63623046875
243, 1484.7574986815453, 1, 18.769923448562622, 312, 64477, 10.289626121520996, 6635.615234375
244, 1954.9276470541954, 1, 11.390333890914917, 192, 64664, 8.336787223815918, 6576.5703125
245, 2145.617112994194, 1, 13.105910539627075, 219, 64878, 9.49016284942627, 6620.328125
246, -2463.2654564380646, 3, 2.912221908569336, 52, 64925, 8.264408111572266, 6173.44775390625
247, -2476.322730779648, 3, 6.402141094207764, 108, 65028, 8.835150718688965, 6471.037109375
248, -2426.8711366057396, 3, 9.569531202316284, 163, 65186, 7.549004077911377, 6507.5068359375
249, 2001.5761696696281, 1, 13.03371000289917, 216, 65397, 8.213787078857422, 6621.78955078125
250, -2992.0089840888977, 3, 13.73165225982666, 227, 65619, 8.89453125, 6739.6015625
251, 1972.329741537571, 1, 11.605481386184692, 193, 65807, 8.89096736907959, 6613.72412109375
252, 2228.9952775239944, 1, 11.64473271369934, 195, 65997, 9.587362289428711, 6617.24462890625
253, -11367.91794204712, 3, 27.998111248016357, 459, 66451, 8.471817016601562, 6787.62060546875
254, 2291.366073191166, 1, 7.442960977554321, 124, 66570, 7.889774322509766, 6703.34130859375
255, -4891.757225036621, 3, 35.405012130737305, 577, 67142, 8.927813529968262, 6958.4599609375
256, -2203.566317409277, 3, 6.512279272079468, 108, 67245, 8.081401824951172, 6639.52099609375
257, -2996.4997016191483, 2, 19.47635793685913, 312, 67552, 9.138023376464844, 6850.05517578125
258, 2369.4858333468437, 1, 6.027167558670044, 99, 67646, 8.01164436340332, 6595.82373046875
259, -13213.388306975365, 2, 52.6643009185791, 839, 68480, 9.179817199707031, 7089.8916015625
260, 1992.8964465856552, 1, 12.797108173370361, 204, 68679, 8.288843154907227, 7017.552734375
261, -293.4726814031601, 1, 41.4936318397522, 653, 69327, 9.074624061584473, 7182.5576171875
262, -2390.0000789761543, 3, 9.853509902954102, 158, 69480, 8.617297172546387, 7059.49267578125
